"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000073712.14"	155.454352772025	-1.26659215593039	0.173412609773054	-7.30392188658015	2.79498680413491e-13	8.48805693164707e-12
"ENSG00000073756.11"	295.641342238169	-1.04570300715762	0.138564754693051	-7.54667382390322	4.46515002842907e-14	1.46667453913088e-12
"ENSG00000074660.15"	34.435788242085	-1.3586421075	0.330058290655026	-4.11637018662269	3.84885946177153e-05	0.000318639824458382
"ENSG00000076356.6"	68.7350425435282	-1.64461220988537	0.252688672758421	-6.50845244439457	7.59289381310209e-11	1.76157915199124e-09
"ENSG00000077782.19"	243.888529720223	-1.23251914706535	0.129917641117077	-9.486926767356	2.37945906347451e-21	1.37132552117242e-19
"ENSG00000079215.13"	311.731798994818	-1.07653664327626	0.122288337765342	-8.80326499606215	1.32892275779706e-18	6.28709389780182e-17
"ENSG00000079337.15"	51.7287385581157	-1.05249303607353	0.280318272005909	-3.75463585923982	0.000173593666480083	0.00122345419527569
"ENSG00000080031.9"	21.9757501999218	-1.64380689227235	0.432075055486324	-3.80444756391262	0.000142121012787232	0.00102500132032384
"ENSG00000081052.11"	25.3976821664625	-1.85421825277275	0.421355393581928	-4.40060405305388	1.07949946743242e-05	0.000102141595131161
"ENSG00000082397.17"	1103.59673146782	-1.16241138468347	0.078105744662797	-14.8825337969942	4.2797896916527e-50	8.89564811483026e-48
"ENSG00000088827.12"	727.410411199749	-2.86809814479431	0.120223020252033	-23.8564805540709	8.67367727657819e-126	8.45950416844115e-123
"ENSG00000088882.7"	750.955669043243	-2.80270110439802	0.0976406767261993	-28.7042367829676	3.37788937138938e-181	8.56565186796918e-178
"ENSG00000089127.12"	1869.37773376685	-2.1393307263669	0.0868549168502535	-24.6310836962209	5.86978686098597e-134	6.76572978276737e-131
"ENSG00000089335.20"	93.4936816583285	-1.07029700245009	0.219240362767422	-4.88184287300008	1.05098987337311e-06	1.22028393814081e-05
"ENSG00000090238.11"	418.534561449525	-1.17827043607973	0.104621920077794	-11.2621756052995	2.01716358041219e-29	1.86004487534881e-27
"ENSG00000090382.6"	29112.264776974	-1.67330250339263	0.0439963851986251	-38.0327269124129	0	0
"ENSG00000090659.17"	256.414391413544	-1.33917119658195	0.144579337179125	-9.26253517764294	1.99634816476502e-20	1.07252959241761e-18
