	SRR1171523	SRR1171525	SRR1171524	SRR1171527	SRR1171526	SRR1171528
ENSG00000141026.5	500.760827384181	508.418778154821	414.444874204301	574.313413661132	531.521534161522	558.51818066211
ENSG00000141027.20	7432.82218030806	8248.65638351183	8314.73817168629	8487.41009927132	8732.28168389332	8842.2035985109
ENSG00000141028.6	5.03783528555514	5.84389400177955	2.98161780003094	5.01146085219138	6.96751074743568	7.00650047425586
ENSG00000141030.12	3506.33335874638	3342.7073690179	3247.97565683371	3950.03344369725	3809.23766149091	4103.80742063558
ENSG00000141034.9	644.842916551058	702.241262547176	692.729202207189	816.868118907195	716.65824830767	837.777270993165
ENSG00000141040.14	64.4842916551058	82.7884983585436	65.5955916006807	50.1146085219138	54.7447273012803	39.036216927997
ENSG00000141068.13	195.46800907954	235.703724738442	213.682609002217	172.394253315383	167.220257938456	195.181084639985
ENSG00000141076.17	2889.70231979443	2847.9243435339	2763.95970062868	3093.07363797252	3220.98068267169	3021.80356168264
ENSG00000141084.10	892.704412600371	838.598789255365	941.197352209767	884.021694326559	812.212681415359	809.751269096142
ENSG00000141086.17	114.862644510657	115.903897701961	107.338240801114	140.320903861359	157.266671156405	167.155082742961
ENSG00000141098.12	561.214850810843	561.013824170837	597.317432606199	490.120871344317	481.753600251267	460.427174022528
ENSG00000141101.12	2493.7284663498	2203.14803867089	2163.66065022245	2476.66395315298	2410.75871861274	2325.15722881377
ENSG00000141127.14	1019.65786179636	968.138439628145	938.215734409736	942.154640211979	968.483993893559	1013.94071148874
ENSG00000141161.11	0	7.7918586690394	0	2.00458434087655	0.995358678205097	2.00185727835882
ENSG00000141179.13	918.901156085258	849.312594925294	913.368919409478	859.966682236041	905.776397166638	903.838561179006
ENSG00000141198.13	991.445984197252	942.814898953767	949.14833300985	903.065245564887	928.669646765355	911.845990292442
ENSG00000141219.15	940.06006428459	1026.57737964594	1070.40079021111	1091.49617360728	1238.22619568714	1219.13108252052
ENSG00000141232.4	685.145598835499	701.267280213546	716.582144607436	605.384470944719	641.010988764082	668.620330971845
ENSG00000141252.19	1856.94608625563	1960.62643759704	1870.46823321941	2294.24677813321	2205.71483090249	2345.17580159736
ENSG00000141255.12	2.01513411422206	1.94796466725985	4.96936300005157	0	0	1.00092863917941
ENSG00000141258.12	1238.29991318945	1318.77207973492	1301.97310601351	1568.5872467359	1507.96839748072	1497.3892442124
ENSG00000141279.15	2913.88392916509	3023.24116358729	3327.48546483453	2954.75731845204	2945.26632880888	3200.96978809575
ENSG00000141294.9	44.3329505128853	27.2715053416379	27.8284328002888	20.0458434087655	29.8607603461529	30.0278591753823
ENSG00000141295.13	611.593203666394	568.805682839876	573.464490205951	463.058982742483	499.670056458959	517.480106455754
ENSG00000141298.17	2278.10911612804	2593.71495445649	2544.3138560264	2539.80835989059	2573.00218316018	2668.4757520523
